イオンモール札幌平岡店,751,09:00～22:00,09:00～22:00,09:00～22:00,09:00～22:00,011-889-5098,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
札幌石山店,793,07:00～24:00,07:00～24:00,07:00～24:00,07:00～24:00,011-594-2640,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
イオンモール札幌苗穂店,505,09:00～22:00,09:00～22:00,09:00～22:00,09:00～22:00,011-780-7679,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
函館ベイサイド店,1012,08:00～23:00,08:00～23:00,08:00～23:00,08:00～23:00,0138-21-4522,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
函館蔦屋書店,2046,07:00～25:00,07:00～25:00,07:00～25:00,07:00～25:00,0138-47-2246,"STARBUCKS, docomo, FLET’S(東), au, Wi2 300"
イオンモール苫小牧店,612,09:00～22:00,09:00～22:00,09:00～22:00,09:00～22:00,0144-51-3347,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
札幌グランドホテル店,333,07:00～22:00,07:00～22:00,07:30～22:00,07:30～22:00,011-222-8060,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
札幌ステラプレイス センター1階店,451,07:00～23:00,07:00～23:00,07:00～23:00,07:00～23:00,011-209-5305,"STARBUCKS, Softbank, au, Wi2 300"
札幌ステラプレイス イースト2階店,1166,10:00～21:00,10:00～21:00,10:00～21:00,10:00～21:00,011-209-5554,"STARBUCKS, docomo, FLET’S(東), au, Wi2 300"
札幌紀伊國屋書店,1217,10:00～21:00,10:00～21:00,10:00～21:00,10:00～21:00,011-218-3351,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
イオン札幌桑園店,441,08:00～23:00,08:00～23:00,08:00～23:00,08:00～23:00,011-204-7254,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
札幌パルコ店,846,07:30～23:00,07:30～23:00,07:30～23:00,07:30～23:00,011-214-2300,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
札幌南一条店,373,07:30～22:00,07:30～22:00,07:30～22:00,07:30～22:00,011-221-1216,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
札幌パセオ店,1003,07:00～23:00,07:00～23:00,07:00～23:00,07:00～23:00,011-213-5623,"STARBUCKS, au, Wi2 300"
札幌医科大学附属病院店,788,07:00～20:00,07:00～20:00,08:00～19:00,08:00～19:00,011-632-8055,
北広島大曲店,855,07:00～24:00,07:00～24:00,07:00～24:00,07:00～24:00,011-370-5315,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
札幌美園店,1051,07:00～24:00,07:00～24:00,07:00～24:00,07:00～24:00,011-820-1335,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
TSUTAYA 札幌琴似店,2007,08:00～25:00,08:00～25:00,08:00～25:00,08:00～25:00,011-633-2000,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
イオンモール札幌発寒店,1126,09:00～22:00,09:00～22:00,09:00～22:00,09:00～22:00,011-669-5434,"STARBUCKS, docomo, FLET’S(東), au, Wi2 300"
札幌円山店,914,07:00～22:00,07:00～22:00,07:00～22:00,07:00～22:00,011-640-1234,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
すすきのイトーヨーカドー店,372,07:30～22:00,07:30～22:00,07:30～22:00,07:30～22:00,011-533-8191,"STARBUCKS, docomo, FLET’S(東), Softbank, au, Wi2 300"
