id,店名,地区,月〜木,金,土,日,電話番号,座席数,URL
751,イオンモール札幌平岡店,北海道札幌市清田区,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,011-889-5098,57,http://www.starbucks.co.jp/store/search/detail.php?id=751
793,札幌石山店,北海道札幌市南区,06:00-24:00,06:00-24:00,06:00-24:00,06:00-24:00,011-594-2640,59,http://www.starbucks.co.jp/store/search/detail.php?id=793
505,イオンモール札幌苗穂店,北海道札幌市東区,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,011-780-7679,52,http://www.starbucks.co.jp/store/search/detail.php?id=505
1012,函館ベイサイド店,北海道函館市,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,0138-21-4522,121,http://www.starbucks.co.jp/store/search/detail.php?id=1012
612,イオンモール苫小牧店,北海道苫小牧市,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,0144-51-3347,53,http://www.starbucks.co.jp/store/search/detail.php?id=612
333,札幌グランドホテル店,北海道札幌市中央区,07:00-22:00,07:00-22:00,07:30-22:00,07:30-22:00,011-222-8060,59,http://www.starbucks.co.jp/store/search/detail.php?id=333
451,札幌ステラプレイス店,北海道札幌市中央区,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,011-209-5305,56,http://www.starbucks.co.jp/store/search/detail.php?id=451
441,イオン札幌桑園店,北海道札幌市中央区,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,011-204-7254,64,http://www.starbucks.co.jp/store/search/detail.php?id=441
846,札幌パルコ店,北海道札幌市中央区,07:30-23:00,07:30-23:00,07:30-23:00,07:30-23:00,011-214-2300,77,http://www.starbucks.co.jp/store/search/detail.php?id=846
373,札幌南一条店,北海道札幌市中央区,07:30-22:00,07:30-22:00,07:30-22:00,07:30-22:00,011-221-1216,81,http://www.starbucks.co.jp/store/search/detail.php?id=373
1003,札幌パセオ店,北海道札幌市北区,07:00-22:30,07:00-22:30,07:00-22:30,07:00-22:30,011-213-5623,67,http://www.starbucks.co.jp/store/search/detail.php?id=1003
788,札幌医科大学附属病院店,北海道札幌市中央区,07:00-20:00,07:00-20:00,08:00-19:00,08:00-19:00,011-632-8055,0,http://www.starbucks.co.jp/store/search/detail.php?id=788
852,北海道大学病院店,北海道札幌市北区,07:00-20:00,07:00-20:00,08:30-19:00,08:30-19:00,011-738-6027,10,http://www.starbucks.co.jp/store/search/detail.php?id=852
855,北広島大曲店,北海道北広島市,07:00-24:00,07:00-24:00,07:00-24:00,07:00-24:00,011-370-5315,56,http://www.starbucks.co.jp/store/search/detail.php?id=855
1051,札幌美園店,北海道札幌市豊平区,07:00-24:00,07:00-24:00,07:00-24:00,07:00-24:00,011-820-1335,50,http://www.starbucks.co.jp/store/search/detail.php?id=1051
2007,TSUTAYA 札幌琴似店,北海道札幌市西区,08:00-25:00,08:00-25:00,08:00-25:00,08:00-25:00,011-633-2000,109,http://www.starbucks.co.jp/store/search/detail.php?id=2007
1126,イオンモール札幌発寒店,北海道札幌市西区,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,011-669-5434,70,http://www.starbucks.co.jp/store/search/detail.php?id=1126
914,札幌円山店,北海道札幌市中央区,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,011-640-1234,46,http://www.starbucks.co.jp/store/search/detail.php?id=914
372,すすきのイトーヨーカドー店,北海道札幌市中央区,07:30-22:00,07:30-22:00,07:30-22:00,07:30-22:00,011-533-8191,83,http://www.starbucks.co.jp/store/search/detail.php?id=372
649,アリオ札幌店,北海道札幌市東区,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,011-702-6745,48,http://www.starbucks.co.jp/store/search/detail.php?id=649
1015,新千歳空港店,北海道千歳市,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,0123-46-2235,0,http://www.starbucks.co.jp/store/search/detail.php?id=1015
554,イオンモール旭川西店,北海道旭川市,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,0166-59-7919,46,http://www.starbucks.co.jp/store/search/detail.php?id=554
741,旭川医科大学病院店,北海道旭川市,07:30-19:30,07:30-19:30,08:30-19:30,08:30-19:30,0166-60-6577,12,http://www.starbucks.co.jp/store/search/detail.php?id=741
1099,八戸田向店,青森県八戸市,07:00-24:00,07:00-24:00,07:00-24:00,07:00-24:00,0178-71-2066,71,http://www.starbucks.co.jp/store/search/detail.php?id=1099
1004,青森ELM店,青森県五所川原市,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,0173-33-5005,59,http://www.starbucks.co.jp/store/search/detail.php?id=1004
1131,青森ラビナ店,青森県青森市,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,017-721-5066,57,http://www.starbucks.co.jp/store/search/detail.php?id=1131
401,盛岡菜園店,岩手県盛岡市,07:30-21:00,07:30-21:00,07:30-21:00,07:30-21:00,019-606-0130,65,http://www.starbucks.co.jp/store/search/detail.php?id=401
516,イオンモール盛岡店,岩手県盛岡市,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,019-605-2746,64,http://www.starbucks.co.jp/store/search/detail.php?id=516
707,イオンモール盛岡南店,岩手県盛岡市,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,019-631-3108,42,http://www.starbucks.co.jp/store/search/detail.php?id=707
245,仙台クリスロード店,宮城県仙台市青葉区,07:30-22:00,07:30-22:30,08:00-22:30,08:00-22:00,022-265-6610,74,http://www.starbucks.co.jp/store/search/detail.php?id=245
174,仙台エスパル店,宮城県仙台市青葉区,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,022-711-1351,97,http://www.starbucks.co.jp/store/search/detail.php?id=174
215,ホテルグランテラス 仙台国分町店,宮城県仙台市青葉区,07:30-22:00,07:30-24:00,08:00-24:00,08:00-22:00,022-712-5272,32,http://www.starbucks.co.jp/store/search/detail.php?id=215
374,仙台アエル店,宮城県仙台市青葉区,07:30-21:00,07:30-21:00,07:30-21:00,07:30-21:00,022-723-8039,82,http://www.starbucks.co.jp/store/search/detail.php?id=374
868,仙台パルコ店,宮城県仙台市青葉区,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,022-774-8201,16,http://www.starbucks.co.jp/store/search/detail.php?id=868
885,仙台フォーラス店,宮城県仙台市青葉区,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,022-264-5451,70,http://www.starbucks.co.jp/store/search/detail.php?id=885
739,イオンモール名取店,宮城県名取市,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,022-381-0817,62,http://www.starbucks.co.jp/store/search/detail.php?id=739
391,泉中央セルバ店,宮城県仙台市泉区,07:30-22:00,07:30-22:00,07:30-22:00,07:30-21:00,022-218-3620,91,http://www.starbucks.co.jp/store/search/detail.php?id=391
871,仙台泉パークタウン タピオ店,宮城県仙台市泉区,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,022-342-7961,22,http://www.starbucks.co.jp/store/search/detail.php?id=871
490,イオンモール富谷店,宮城県黒川郡,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,022-779-0861,52,http://www.starbucks.co.jp/store/search/detail.php?id=490
444,ザ・モール仙台長町 Ｐａｒｔ２店,宮城県仙台市太白区,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,022-304-3552,62,http://www.starbucks.co.jp/store/search/detail.php?id=444
1122,仙台大野田店,宮城県仙台市太白区,07:00-24:00,07:00-24:00,07:00-24:00,07:00-24:00,022-746-8835,60,http://www.starbucks.co.jp/store/search/detail.php?id=1122
2031,TSUTAYA 東仙台店,宮城県仙台市宮城野区,10:00-24:00,10:00-24:00,10:00-24:00,10:00-24:00,022-297-2022,55,http://www.starbucks.co.jp/store/search/detail.php?id=2031
328,仙台駅東口店,宮城県仙台市宮城野区,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,022-293-1501,52,http://www.starbucks.co.jp/store/search/detail.php?id=328
627,イオンモール秋田店,秋田県秋田市,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,018-889-6588,46,http://www.starbucks.co.jp/store/search/detail.php?id=627
486,秋田アルス店,秋田県秋田市,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,018-884-7011,74,http://www.starbucks.co.jp/store/search/detail.php?id=486
912,秋田大学医学部附属病院店,秋田県秋田市,07:00-20:00,07:00-20:00,09:00-19:00,09:00-19:00,018-825-5182,0,http://www.starbucks.co.jp/store/search/detail.php?id=912
876,イオンモール大曲店,秋田県大仙市,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,0187-66-3619,50,http://www.starbucks.co.jp/store/search/detail.php?id=876
1005,山形エスパル店,山形県山形市,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,023-628-1315,51,http://www.starbucks.co.jp/store/search/detail.php?id=1005
1006,山形馬見ヶ崎店,山形県山形市,07:30-24:00,07:30-24:00,07:30-24:00,07:30-24:00,023-682-0601,61,http://www.starbucks.co.jp/store/search/detail.php?id=1006
1077,山形県立中央病院店,山形県山形市,07:00-20:00,07:00-20:00,09:00-20:00,09:00-20:00,023-686-9951,20,http://www.starbucks.co.jp/store/search/detail.php?id=1077
771,福島県立医科大学附属病院店,福島県福島市,07:00-20:00,07:00-20:00,09:00-19:00,09:00-19:00,024-547-2131,16,http://www.starbucks.co.jp/store/search/detail.php?id=771
1041,福島エスパル店,福島県福島市,07:30-22:00,07:30-22:00,07:30-22:00,07:30-22:00,024-525-8651,67,http://www.starbucks.co.jp/store/search/detail.php?id=1041
1084,郡山安積店,福島県郡山市,07:00-24:00,07:00-24:00,07:00-24:00,07:00-24:00,024-937-1855,66,http://www.starbucks.co.jp/store/search/detail.php?id=1084
236,郡山モルティ店,福島県郡山市,07:30-21:00,07:30-21:00,07:30-21:00,07:30-21:00,024-921-4556,45,http://www.starbucks.co.jp/store/search/detail.php?id=236
1055,郡山駅店,福島県郡山市,07:30-22:00,07:30-22:00,07:30-22:00,07:30-22:00,024-927-5770,47,http://www.starbucks.co.jp/store/search/detail.php?id=1055
854,土浦店,茨城県土浦市,07:00-24:00,07:00-24:00,07:00-24:00,07:00-24:00,029-825-1211,52,http://www.starbucks.co.jp/store/search/detail.php?id=854
927,イオンモール土浦店,茨城県土浦市,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,029-835-8679,56,http://www.starbucks.co.jp/store/search/detail.php?id=927
947,ひたち野うしく店,茨城県牛久市,07:00-24:00,07:00-24:00,07:00-24:00,07:00-24:00,029-878-2105,61,http://www.starbucks.co.jp/store/search/detail.php?id=947
1137,龍ケ崎店,茨城県龍ケ崎市,07:00-24:00,07:00-24:00,07:00-24:00,07:00-24:00,0297-61-5170,57,http://www.starbucks.co.jp/store/search/detail.php?id=1137
270,取手ボックスヒル店,茨城県取手市,07:00-22:00,07:00-22:00,07:00-22:00,08:00-22:00,0297-72-1710,42,http://www.starbucks.co.jp/store/search/detail.php?id=270
1141,守谷サービスエリア(下り線）店,茨城県守谷市,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,0297-47-1301,16,http://www.starbucks.co.jp/store/search/detail.php?id=1141
481,西友楽市守谷店,茨城県守谷市,07:00-24:00,07:00-24:00,07:00-24:00,07:00-24:00,0297-21-1215,74,http://www.starbucks.co.jp/store/search/detail.php?id=481
879,イオンモール下妻店,茨城県下妻市,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,0296-38-5576,48,http://www.starbucks.co.jp/store/search/detail.php?id=879
602,つくばキュート店,茨城県つくば市,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,029-863-1730,49,http://www.starbucks.co.jp/store/search/detail.php?id=602
894,つくば駅店,茨城県つくば市,07:00-21:00,07:00-21:00,08:00-20:00,08:00-20:00,029-868-3980,32,http://www.starbucks.co.jp/store/search/detail.php?id=894
541,ＬＡＬＡガーデンつくば店,茨城県つくば市,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,029-860-5208,30,http://www.starbucks.co.jp/store/search/detail.php?id=541
659,つくば店,茨城県つくば市,07:00-26:00,07:00-26:00,07:00-26:00,07:00-26:00,029-850-1917,58,http://www.starbucks.co.jp/store/search/detail.php?id=659
1134,イオンモールつくば店,茨城県つくば市,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,029-839-2212,44,http://www.starbucks.co.jp/store/search/detail.php?id=1134
870,イーアスつくば店,茨城県つくば市研究学園C50街区,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,029-868-7175,46,http://www.starbucks.co.jp/store/search/detail.php?id=870
847,つくば研究学園店,茨城県つくば市学園南110街区,07:00-24:00,07:00-24:00,07:00-24:00,07:00-24:00,029-861-1323,61,http://www.starbucks.co.jp/store/search/detail.php?id=847
831,筑波大学中央図書館店,茨城県つくば市,08:00-20:00,08:00-20:00,10:00-18:00,10:00-18:00,029-860-3131,36,http://www.starbucks.co.jp/store/search/detail.php?id=831
858,筑波大学附属病院店,茨城県つくば市,07:30-19:30,07:30-19:30,10:00-18:00,10:00-18:00,029-860-2780,8,http://www.starbucks.co.jp/store/search/detail.php?id=858
1031,友部サービスエリア（下り線）店,茨城県笠間市,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,0296-70-5234,22,http://www.starbucks.co.jp/store/search/detail.php?id=1031
1030,友部サービスエリア（上り線）店,茨城県笠間市,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,0296-70-5103,24,http://www.starbucks.co.jp/store/search/detail.php?id=1030
304,水戸 シルバーインホテル店,茨城県水戸市,07:00-22:00,07:00-22:00,07:00-22:00,07:30-21:00,029-224-4825,77,http://www.starbucks.co.jp/store/search/detail.php?id=304
818,水戸　県庁前店,茨城県水戸市,07:00-24:00,07:00-24:00,07:00-24:00,07:00-24:00,029-305-3825,60,http://www.starbucks.co.jp/store/search/detail.php?id=818
1103,水戸赤塚店,茨城県水戸市,07:00-24:00,07:00-24:00,07:00-24:00,07:00-24:00,029-309-0177,67,http://www.starbucks.co.jp/store/search/detail.php?id=1103
722,ひたちなか店,茨城県ひたちなか市,07:00-24:00,07:00-24:00,07:00-24:00,07:00-24:00,029-354-1612,65,http://www.starbucks.co.jp/store/search/detail.php?id=722
643,イオンモール水戸内原店,茨城県水戸市,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,029-259-1129,50,http://www.starbucks.co.jp/store/search/detail.php?id=643
