id,店名,地区,月〜木,金,土,日,電話番号,座席数,URL
888,アトレ川崎店,神奈川県川崎市川崎区,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,044-221-6333,78,http://www.starbucks.co.jp/store/search/detail.php?id=888
113,川崎モアーズ店,神奈川県川崎市川崎区,07:00-22:30,07:00-22:30,07:00-22:30,07:00-22:30,044-200-0977,100,http://www.starbucks.co.jp/store/search/detail.php?id=113
409,川崎 ラ チッタデッラ店,神奈川県川崎市川崎区,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,044-223-1570,94,http://www.starbucks.co.jp/store/search/detail.php?id=409
343,川崎 丸井店,神奈川県川崎市川崎区,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,044-246-6765,41,http://www.starbucks.co.jp/store/search/detail.php?id=343
419,武蔵小杉北口店,神奈川県川崎市中原区,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,044-738-3137,33,http://www.starbucks.co.jp/store/search/detail.php?id=419
697,ラゾーナ川崎店,神奈川県川崎市幸区,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,044-874-8359,58,http://www.starbucks.co.jp/store/search/detail.php?id=697
809,Qiz溝の口店,神奈川県川崎市高津区,07:00-22:30,07:00-22:30,07:00-22:30,07:00-22:30,044-829-6030,45,http://www.starbucks.co.jp/store/search/detail.php?id=809
645,新百合ヶ丘エルミロード店,神奈川県川崎市麻生区,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,044-965-3193,46,http://www.starbucks.co.jp/store/search/detail.php?id=645
206,横浜北幸店,神奈川県横浜市西区,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,045-320-2136,62,http://www.starbucks.co.jp/store/search/detail.php?id=206
149,横浜ビブレ店,神奈川県横浜市西区,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,045-321-0681,64,http://www.starbucks.co.jp/store/search/detail.php?id=149
353,横浜西口店,神奈川県横浜市西区,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,045-316-3743,84,http://www.starbucks.co.jp/store/search/detail.php?id=353
72,横浜モアーズ店,神奈川県横浜市西区,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,045-411-0488,77,http://www.starbucks.co.jp/store/search/detail.php?id=72
1082,横浜スカイビル店,神奈川県横浜市西区,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,045-440-3280,52,http://www.starbucks.co.jp/store/search/detail.php?id=1082
2015,TSUTAYA 横浜みなとみらい店,神奈川県横浜市西区,07:00-26:00,07:00-26:00,07:00-26:00,07:00-26:00,045-226-1073,101,http://www.starbucks.co.jp/store/search/detail.php?id=2015
8,横浜［アット！］店,神奈川県横浜市西区,07:30-22:30,07:30-22:30,07:30-22:30,07:30-22:30,045-682-2755,84,http://www.starbucks.co.jp/store/search/detail.php?id=8
49,横浜ランドマークプラザ店,神奈川県横浜市西区,07:00-22:30,07:00-22:30,07:00-22:30,07:00-22:30,045-225-0317,69,http://www.starbucks.co.jp/store/search/detail.php?id=49
2045,日産グローバル本社ギャラリー店,神奈川県横浜市西区,08:00-20:00,08:00-20:00,10:00-20:00,10:00-20:00,045-641-3925,0,http://www.starbucks.co.jp/store/search/detail.php?id=2045
2013,キュービックプラザ新横浜店,神奈川県横浜市港北区,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,045-478-2516,52,http://www.starbucks.co.jp/store/search/detail.php?id=2013
626,大倉山駅前店,神奈川県横浜市港北区,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,045-533-0451,53,http://www.starbucks.co.jp/store/search/detail.php?id=626
45,新横浜店,神奈川県横浜市港北区,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,045-471-3676,38,http://www.starbucks.co.jp/store/search/detail.php?id=45
219,新横浜３丁目店,神奈川県横浜市港北区,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,045-473-4681,46,http://www.starbucks.co.jp/store/search/detail.php?id=219
266,日吉店,神奈川県横浜市港北区,07:00-22:30,07:00-22:30,07:00-22:30,07:00-22:30,045-564-5082,71,http://www.starbucks.co.jp/store/search/detail.php?id=266
663,モザイクモール港北店,神奈川県横浜市都筑区,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,045-914-2211,67,http://www.starbucks.co.jp/store/search/detail.php?id=663
2016,蔦屋書店 港北ミナモ店,神奈川県横浜市都筑区,10:00-25:00,10:00-25:00,10:00-25:00,10:00-25:00,045-590-0073,48,http://www.starbucks.co.jp/store/search/detail.php?id=2016
761,港北ノースポート・モール店,神奈川県横浜市都筑区,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,045-914-7375,48,http://www.starbucks.co.jp/store/search/detail.php?id=761
216,センター南店,神奈川県横浜市都筑区,07:30-22:00,07:30-22:00,07:30-22:00,07:30-22:00,045-943-1815,79,http://www.starbucks.co.jp/store/search/detail.php?id=216
719,ららぽーと横浜店,神奈川県横浜市都筑区,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,045-414-2405,40,http://www.starbucks.co.jp/store/search/detail.php?id=719
51,東戸塚オーロラシティ店,神奈川県横浜市戸塚区,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,045-827-0515,52,http://www.starbucks.co.jp/store/search/detail.php?id=51
906,たまプラーザテラス店,神奈川県横浜市青葉区,08:00-22:30,08:00-22:30,08:00-22:30,08:00-22:30,045-905-0774,84,http://www.starbucks.co.jp/store/search/detail.php?id=906
644,アピタ長津田店,神奈川県横浜市緑区,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,045-988-0553,48,http://www.starbucks.co.jp/store/search/detail.php?id=644
183,青葉台東急スクエア店,神奈川県横浜市青葉区,07:00-22:00,07:00-22:30,07:00-22:00,07:00-22:00,045-985-8162,88,http://www.starbucks.co.jp/store/search/detail.php?id=183
730,横浜鶴見店,神奈川県横浜市鶴見区,07:00-26:00,07:00-26:00,07:00-26:00,07:00-26:00,045-570-5051,74,http://www.starbucks.co.jp/store/search/detail.php?id=730
758,横浜ワールドポーターズ店,神奈川県横浜市中区,10:30-21:00,10:30-21:00,10:30-21:00,10:30-21:00,045-222-2148,28,http://www.starbucks.co.jp/store/search/detail.php?id=758
96,関内馬車道店,神奈川県横浜市中区,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,045-664-9099,52,http://www.starbucks.co.jp/store/search/detail.php?id=96
306,横浜公園店,神奈川県横浜市中区,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,045-212-3906,64,http://www.starbucks.co.jp/store/search/detail.php?id=306
295,横浜チャイナタウン店,神奈川県横浜市中区,07:30-22:30,07:30-22:30,07:30-22:30,07:30-22:30,045-212-1183,60,http://www.starbucks.co.jp/store/search/detail.php?id=295
308,関内伊勢佐木モール店,神奈川県横浜市中区,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,045-243-3238,85,http://www.starbucks.co.jp/store/search/detail.php?id=308
153,桜木町駅前店,神奈川県横浜市中区,07:00-22:30,07:00-22:30,07:00-22:30,07:00-22:30,045-683-3162,54,http://www.starbucks.co.jp/store/search/detail.php?id=153
44,横浜元町店,神奈川県横浜市中区,,,,07:30-22:00,045-664-2741,47,http://www.starbucks.co.jp/store/search/detail.php?id=44
272,ウィング上大岡店,神奈川県横浜市港南区,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,045-846-2909,44,http://www.starbucks.co.jp/store/search/detail.php?id=272
991,港南台バーズ店,神奈川県横浜市港南区,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,045-836-1361,68,http://www.starbucks.co.jp/store/search/detail.php?id=991
570,らびすた新杉田店,神奈川県横浜市磯子区,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,045-778-6508,58,http://www.starbucks.co.jp/store/search/detail.php?id=570
54,横浜ベイサイドマリーナ店,神奈川県横浜市金沢区,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,045-772-1507,58,http://www.starbucks.co.jp/store/search/detail.php?id=54
995,金沢八景ダイエー店,神奈川県横浜市金沢区,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,045-780-3115,60,http://www.starbucks.co.jp/store/search/detail.php?id=995
998,ショッパーズプラザ横須賀シーサイドビレッジ店,神奈川県横須賀市,07:00-22:00,07:00-22:30,07:00-22:30,07:00-22:00,046-828-4878,104,http://www.starbucks.co.jp/store/search/detail.php?id=998
246,横須賀モアーズシティ店,神奈川県横須賀市,07:00-22:00,07:00-22:30,07:00-22:30,07:00-22:00,046-822-1341,67,http://www.starbucks.co.jp/store/search/detail.php?id=246
512,横浜ビジネスパーク店,神奈川県横浜市保土ヶ谷区,07:30-22:00,07:30-22:00,08:00-22:00,08:00-22:00,045-348-2260,30,http://www.starbucks.co.jp/store/search/detail.php?id=512
781,葉山海岸通り店,神奈川県三浦郡,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,046-877-5788,30,http://www.starbucks.co.jp/store/search/detail.php?id=781
509,二俣川西友店,神奈川県横浜市旭区,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,045-360-8281,30,http://www.starbucks.co.jp/store/search/detail.php?id=509
319,大和オークシティ店,神奈川県大和市,10:00-23:00,10:00-23:00,09:00-23:00,09:00-23:00,046-200-3520,44,http://www.starbucks.co.jp/store/search/detail.php?id=319
57,本厚木店,神奈川県厚木市,07:30-22:00,07:30-22:00,07:30-22:00,07:30-22:00,046-221-0648,64,http://www.starbucks.co.jp/store/search/detail.php?id=57
814,厚木及川店,神奈川県厚木市,07:00-26:00,07:00-26:00,07:00-26:00,07:00-26:00,046-243-5067,56,http://www.starbucks.co.jp/store/search/detail.php?id=814
1045,EXPASA海老名サービスエリア（上り線）店,神奈川県海老名市,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,046-292-0012,0,http://www.starbucks.co.jp/store/search/detail.php?id=1045
351,海老名店,神奈川県海老名市,07:00-22:30,07:00-22:30,07:00-22:30,07:00-22:30,046-234-3068,73,http://www.starbucks.co.jp/store/search/detail.php?id=351
922,戸塚東急プラザ店,神奈川県横浜市戸塚区,07:00-22:30,07:00-22:30,07:00-22:30,08:00-22:30,045-860-5171,34,http://www.starbucks.co.jp/store/search/detail.php?id=922
348,戸塚店,神奈川県横浜市戸塚区,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,045-881-5355,67,http://www.starbucks.co.jp/store/search/detail.php?id=348
380,大船ルミネウィング店,神奈川県鎌倉市,07:00-22:30,07:00-22:30,07:00-22:30,07:00-22:30,0467-48-5081,110,http://www.starbucks.co.jp/store/search/detail.php?id=380
396,鎌倉店,神奈川県鎌倉市,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,0467-24-2979,56,http://www.starbucks.co.jp/store/search/detail.php?id=396
624,鎌倉御成町店,神奈川県鎌倉市,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,0467-61-2161,53,http://www.starbucks.co.jp/store/search/detail.php?id=624
531,逗子駅前店,神奈川県逗子市,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,046-870-6890,46,http://www.starbucks.co.jp/store/search/detail.php?id=531
551,ＪＲ東海 小田原駅店,神奈川県小田原市,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,0465-20-1185,38,http://www.starbucks.co.jp/store/search/detail.php?id=551
132,小田原Ｄｙｎａｃｉｔｙ ＷＥＳＴ店,神奈川県小田原市,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,0465-49-8124,22,http://www.starbucks.co.jp/store/search/detail.php?id=132
159,藤沢エスタ店,神奈川県藤沢市,08:00-22:30,08:00-22:30,08:00-22:30,08:00-22:30,0466-50-4001,48,http://www.starbucks.co.jp/store/search/detail.php?id=159
1024,テラスモール湘南店,神奈川県藤沢市,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,0466-38-2175,63,http://www.starbucks.co.jp/store/search/detail.php?id=1024
685,ミスターマックス湘南藤沢ショッピングセンター店,神奈川県藤沢市,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,0466-33-5681,54,http://www.starbucks.co.jp/store/search/detail.php?id=685
322,ルミネ藤沢店,神奈川県藤沢市,07:00-22:30,07:00-22:30,07:00-22:30,07:00-22:30,0466-27-5186,68,http://www.starbucks.co.jp/store/search/detail.php?id=322
127,イオン橋本店,神奈川県相模原市緑区,07:00-22:00,07:00-22:00,07:30-22:00,07:30-22:00,042-770-6556,42,http://www.starbucks.co.jp/store/search/detail.php?id=127
983,アリオ橋本店,神奈川県相模原市緑区,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,042-700-0281,69,http://www.starbucks.co.jp/store/search/detail.php?id=983
997,相模原共和店,神奈川県相模原市中央区,07:00-26:00,07:00-26:00,07:00-26:00,07:00-26:00,042-730-3701,55,http://www.starbucks.co.jp/store/search/detail.php?id=997
315,相模大野レガロ店,神奈川県相模原市南区,07:00-22:30,07:00-22:30,07:00-22:30,07:00-22:30,042-740-1251,71,http://www.starbucks.co.jp/store/search/detail.php?id=315
81,湘南台駅ビル店,神奈川県藤沢市,07:00-22:30,07:00-22:30,07:00-22:30,07:00-22:30,0466-45-2251,34,http://www.starbucks.co.jp/store/search/detail.php?id=81
450,湘南台イトーヨーカドー店,神奈川県藤沢市,10:00-21:30,10:00-21:30,10:00-21:30,10:00-21:30,0466-86-6383,84,http://www.starbucks.co.jp/store/search/detail.php?id=450
254,平塚ラスカ店,神奈川県平塚市,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,0463-24-2407,79,http://www.starbucks.co.jp/store/search/detail.php?id=254
569,平塚ＯＳＣ湘南シティ店,神奈川県平塚市,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,0463-25-0561,60,http://www.starbucks.co.jp/store/search/detail.php?id=569
1052,イオン秦野店,神奈川県秦野市,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,0463-85-2113,59,http://www.starbucks.co.jp/store/search/detail.php?id=1052
146,茅ヶ崎スルガビル店,神奈川県茅ヶ崎市,07:00-22:30,07:00-22:30,07:00-22:30,07:00-22:30,0467-58-2139,46,http://www.starbucks.co.jp/store/search/detail.php?id=146
1085,東海大学医学部付属病院店,神奈川県伊勢原市,07:30-20:00,07:30-20:00,07:30-20:00,10:00-17:00,0463-90-1230,16,http://www.starbucks.co.jp/store/search/detail.php?id=1085
