id,name,region,weekday,friday,saturday,sunday,tel,seats,lan
973,福山ポートプラザ天満屋店,広島県福山市,10:00～21:00,10:00～21:00,10:00～21:00,10:00～21:00,084-932-6933,55,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
1112,福山蔵王店,広島県福山市,08:00～23:00,08:00～23:00,08:00～23:00,08:00～23:00,084-940-0075,49,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
192,紙屋町シャレオ店,広島県広島市中区,07:30～22:00,07:30～22:00,07:30～22:00,07:30～22:00,082-546-3135,62,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
265,広島本通り店,広島県広島市中区,08:00～22:00,08:00～23:00,08:00～23:00,08:00～22:00,082-240-0231,90,STARBUCKS/ SoftBank/ au/ Wi2300
292,ＮＨＫ広島ビル店,広島県広島市中区,07:30～21:00,07:30～21:00,08:30～20:00,08:30～20:00,082-240-1136,48,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
911,イオンモール広島祇園店,広島県広島市安佐南区,09:00～21:00,09:00～21:00,09:00～21:00,09:00～21:00,082-832-3516,52,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
1078,広島段原店,広島県広島市南区,08:00～23:00,08:00～23:00,08:00～23:00,08:00～23:00,082-890-9010,63,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
247,広島駅アッセ店,広島県広島市南区,07:00～22:00,07:00～22:00,07:00～22:00,07:00～22:00,082-261-0153,65,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
606,広島アルパーク店,広島県広島市西区,08:00～22:00,08:00～22:00,08:00～22:00,08:00～22:00,082-501-1229,60,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
549,イオン宇品店,広島県広島市南区,09:00～22:00,09:00～22:00,09:00～22:00,09:00～22:00,082-250-8120,54,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
830,ゆめタウン広島店,広島県広島市南区,10:00～22:00,10:00～22:00,10:00～22:00,10:00～22:00,082-250-6162,40,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
1115,広島大学病院店,広島県広島市南区,07:30～20:00,07:30～20:00,10:00～17:00,10:00～17:00,082-250-3265,8,
545,イオンモール広島府中店,広島県安芸郡,09:00～22:00,09:00～22:00,09:00～22:00,09:00～22:00,082-561-0040,66,STARBUCKS/ docomo/ FLET'S（西）/ au/ Wi2300
2053,呉医療センター店,広島県呉市,07:30～20:00,07:30～20:00,10:00～18:30,10:00～18:30,0823-32-6435,34,STARBUCKS/ SoftBank/ au/ Wi2300
573,ゆめタウン呉店,広島県呉市,09:00～21:30,09:00～21:30,09:00～21:30,09:00～21:30,0823-32-5370,34,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
925,宮島サービスエリア(下り線)店,広島県廿日市市,07:00～21:00,07:00～21:00,07:00～21:00,07:00～21:00,0829-37-4077,53,STARBUCKS/ docomo/ FLET'S（西）/ au/ Wi2300
