id,name,region,weekday,friday,saturday,sunday,tel,seats,lan
113,川崎モアーズ店,神奈川県川崎市川崎区,07:00～22:30,07:00～22:30,07:00～22:30,07:00～22:30,044-200-0977,100,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
888,アトレ川崎店,神奈川県川崎市川崎区,10:00～21:00,10:00～21:00,10:00～21:00,10:00～21:00,044-221-6333,78,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
409,川崎 ラ チッタデッラ店,神奈川県川崎市川崎区,07:00～23:00,07:00～23:00,07:00～23:00,07:00～23:00,044-223-1570,94,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
343,川崎 丸井店,神奈川県川崎市川崎区,07:00～23:00,07:00～23:00,07:00～23:00,07:00～23:00,044-246-6765,41,
419,武蔵小杉北口店,神奈川県川崎市中原区,07:00～22:00,07:00～22:00,07:00～22:00,07:00～22:00,044-738-3137,33,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
1088,武蔵小杉東急スクエア店,神奈川県川崎市中原区,07:00～22:30,07:00～22:30,07:00～22:30,07:00～22:30,044-738-2350,60,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
697,ラゾーナ川崎店,神奈川県川崎市幸区,07:30～22:00,07:30～22:00,07:30～22:00,07:30～22:00,044-874-8359,58,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
809,Qiz溝の口店,神奈川県川崎市高津区,07:00～22:30,07:00～22:30,07:00～22:30,07:00～22:30,044-829-6030,45,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
645,新百合ヶ丘エルミロード店,神奈川県川崎市麻生区,10:00～22:00,10:00～22:00,10:00～22:00,10:00～22:00,044-965-3193,46,
206,横浜北幸店,神奈川県横浜市西区,07:00～22:00,07:00～22:00,07:00～22:00,07:00～22:00,045-320-2136,62,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
149,横浜ビブレ店,神奈川県横浜市西区,08:00～23:00,08:00～23:00,08:00～23:00,08:00～23:00,045-321-0681,64,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
353,横浜西口店,神奈川県横浜市西区,07:00～23:00,07:00～23:00,07:00～23:00,07:00～23:00,045-316-3743,84,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
72,横浜モアーズ店,神奈川県横浜市西区,07:00～23:00,07:00～23:00,07:00～23:00,07:00～23:00,045-411-0488,77,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
1082,横浜スカイビル店,神奈川県横浜市西区,07:00～23:00,07:00～23:00,07:00～23:00,07:00～23:00,045-440-3280,52,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
2015,TSUTAYA 横浜みなとみらい店,神奈川県横浜市西区,07:00～26:00,07:00～26:00,07:00～26:00,07:00～26:00,045-226-1073,131,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
8,横浜［アット！］店,神奈川県横浜市西区,07:30～22:30,07:30～22:30,07:30～22:30,07:30～22:30,045-682-2755,84,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
49,横浜ランドマークプラザ店,神奈川県横浜市西区,07:00～22:30,07:00～22:30,07:00～22:30,07:00～22:30,045-225-0317,69,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
1190,横浜アイマークプレイス店,神奈川県横浜市西区,07:00～23:00,07:00～23:00,07:00～23:00,07:00～23:00,045-680-0727,58,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
2045,日産グローバル本社ギャラリー店,神奈川県横浜市西区,08:00～20:00,08:00～20:00,10:00～20:00,10:00～20:00,045-641-3925,0,STARBUCKS/ docomo/ FLET'S（東）/ au/ Wi2300
2013,キュービックプラザ新横浜店,神奈川県横浜市港北区,07:00～21:00,07:00～21:00,07:00～21:00,07:00～21:00,045-478-2516,52,docomo/ FLET'S（東）/ SoftBank
1195,トレッサ横浜店,神奈川県横浜市港北区,10:00～21:00,10:00～21:00,10:00～21:00,10:00～21:00,045-330-2963,67,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
626,大倉山駅前店,神奈川県横浜市港北区,07:00～22:00,07:00～22:00,07:00～22:00,07:00～22:00,045-533-0451,53,STARBUCKS/ docomo/ FLET'S（東）/ au/ Wi2300
45,新横浜店,神奈川県横浜市港北区,07:00～22:00,07:00～22:00,07:00～22:00,07:00～22:00,045-471-3676,38,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
219,新横浜３丁目店,神奈川県横浜市港北区,07:00～22:00,07:00～22:00,07:00～22:00,07:00～22:00,045-473-4681,46,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
266,日吉店,神奈川県横浜市港北区,07:00～22:30,07:00～22:30,07:00～22:30,07:00～22:30,045-564-5082,78,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
663,モザイクモール港北店,神奈川県横浜市都筑区,10:00～20:00,10:00～20:00,10:00～20:00,10:00～20:00,045-914-2211,96,STARBUCKS/ docomo/ FLET'S（東）/ au/ Wi2300
2016,蔦屋書店 港北ミナモ店,神奈川県横浜市都筑区,10:00～25:00,10:00～25:00,09:00～25:00,09:00～25:00,045-590-0073,58,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
761,港北ノースポート・モール店,神奈川県横浜市都筑区,10:00～21:00,10:00～21:00,10:00～21:00,10:00～21:00,045-914-7375,48,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
216,センター南店,神奈川県横浜市都筑区,07:30～22:00,07:30～22:00,07:30～22:00,07:30～22:00,045-943-1815,79,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
719,ららぽーと横浜店,神奈川県横浜市都筑区,10:00～23:00,10:00～23:00,10:00～23:00,10:00～23:00,045-414-2405,40,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
51,東戸塚オーロラシティ店,神奈川県横浜市戸塚区,07:00～22:00,07:00～22:00,07:00～22:00,07:00～22:00,045-827-0515,52,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
906,たまプラーザテラス店,神奈川県横浜市青葉区,08:00～22:30,08:00～22:30,08:00～22:30,08:00～22:30,045-905-0774,84,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
644,アピタ長津田店,神奈川県横浜市緑区,10:00～21:00,10:00～21:00,10:00～21:00,10:00～21:00,045-988-0553,48,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
183,青葉台東急スクエア店,神奈川県横浜市青葉区,07:00～22:00,07:00～22:30,07:00～22:00,07:00～22:00,045-985-8162,102,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
730,横浜鶴見店,神奈川県横浜市鶴見区,07:00～26:00,07:00～26:00,07:00～26:00,07:00～26:00,045-570-5051,74,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
1262,CIAL鶴見店,神奈川県横浜市鶴見区,07:00～22:30,07:00～22:30,07:00～22:30,07:00～22:30,045-508-6522,55,STARBUCKS/ au/ Wi2300
758,横浜ワールドポーターズ店,神奈川県横浜市中区,10:30～22:00,10:30～22:00,10:30～22:00,10:30～22:00,045-222-2148,28,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
96,関内馬車道店,神奈川県横浜市中区,07:00～22:00,07:00～22:00,07:00～22:00,07:00～22:00,045-664-9099,52,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
306,横浜公園店,神奈川県横浜市中区,07:00～22:00,07:00～22:00,07:00～22:00,07:00～22:00,045-212-3906,64,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
295,横浜チャイナタウン店,神奈川県横浜市中区,07:30～22:30,07:30～22:30,07:30～22:30,07:30～22:30,045-212-1183,60,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
153,桜木町駅前店,神奈川県横浜市中区,07:00～22:30,07:00～22:30,07:00～22:30,07:00～22:30,045-683-3162,54,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
1191,CIAL桜木町店,神奈川県横浜市中区,07:00～23:00,07:00～23:00,07:00～23:00,07:00～23:00,045-227-9130,78,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
44,横浜元町店,神奈川県横浜市中区,07:30～22:00,07:30～22:00,07:30～22:00,07:30～22:00,045-664-2741,47,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
272,ウィング上大岡店,神奈川県横浜市港南区,08:00～21:00,08:00～21:00,08:00～21:00,08:00～21:00,045-846-2909,46,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
991,港南台バーズ店,神奈川県横浜市港南区,07:00～22:00,07:00～22:00,07:00～22:00,07:00～22:00,045-836-1361,68,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
570,らびすた新杉田店,神奈川県横浜市磯子区,07:00～22:00,07:00～22:00,07:00～22:00,07:00～22:00,045-778-6508,58,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
54,横浜ベイサイドマリーナ店,神奈川県横浜市金沢区,09:00～21:00,09:00～21:00,09:00～21:00,09:00～21:00,045-772-1507,58,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
995,金沢八景ダイエー店,神奈川県横浜市金沢区,09:00～22:00,09:00～22:00,09:00～22:00,09:00～22:00,045-780-3115,60,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
998,ショッパーズプラザ横須賀シーサイドビレッジ店,神奈川県横須賀市,07:00～22:00,07:00～22:30,07:00～22:30,07:00～22:00,046-828-4878,104,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
246,横須賀モアーズシティ店,神奈川県横須賀市,07:00～22:00,07:00～22:30,07:00～22:30,07:00～22:00,046-822-1341,67,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
512,横浜ビジネスパーク店,神奈川県横浜市保土ヶ谷区,07:00～22:00,07:00～22:00,08:00～22:00,08:00～22:00,045-348-2260,30,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
781,葉山海岸通り店,神奈川県三浦郡,07:00～22:00,07:00～22:00,07:00～22:00,07:00～22:00,046-877-5788,22,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
509,二俣川西友店,神奈川県横浜市旭区,08:00～22:00,08:00～22:00,08:00～22:00,08:00～22:00,045-360-8281,30,SoftBank
319,大和オークシティ店,神奈川県大和市,10:00～23:00,10:00～23:00,09:00～23:00,09:00～23:00,046-200-3520,47,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
57,本厚木店,神奈川県厚木市,07:30～22:00,07:30～22:00,07:30～22:00,07:30～22:00,046-221-0648,48,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
814,厚木及川店,神奈川県厚木市,07:00～26:00,07:00～26:00,07:00～26:00,07:00～26:00,046-243-5067,56,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
1045,EXPASA海老名サービスエリア（上り線）店,神奈川県海老名市,08:00～21:00,08:00～21:00,08:00～21:00,08:00～21:00,046-292-0012,0,
