id,name,region,weekday,friday,saturday,sunday,tel,seats,lan
406,那覇メインプレイス店,沖縄県那覇市,09:00～24:00,09:00～24:00,09:00～24:00,09:00～24:00,098-951-3349,116,STARBUCKS/ docomo/ FLET'S（西）/ au/ Wi2300
381,那覇国際通り牧志店,沖縄県那覇市,07:30～24:00,07:30～24:00,08:00～24:00,08:00～24:00,098-862-8026,83,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
2009,那覇空港北ウィング店,沖縄県那覇市,07:00～21:00,07:00～21:00,07:00～21:00,07:00～21:00,098-852-0804,2,
428,イオン那覇ショッピングセンター店,沖縄県那覇市,10:00～24:00,10:00～24:00,10:00～24:00,09:00～24:00,098-852-1140,85,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
1000,沖縄アウトレットモールあしびなー店,沖縄県豊見城市,08:00～24:00,08:00～24:00,08:00～24:00,08:00～24:00,098-840-5010,85,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
2034,豊見城中央病院店,沖縄県豊見城市,07:30～18:30,07:30～18:30,07:30～17:00,None,098-840-6822,10,
559,イオン南風原店,沖縄県島尻郡,10:00～23:00,10:00～23:00,10:00～23:00,10:00～23:00,098-940-6152,57,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
636,浦添バークレーズコート店,沖縄県浦添市,07:00～26:00,07:00～26:00,07:00～26:00,07:00～26:00,098-871-1650,72,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
875,経塚シティ店,沖縄県浦添市,09:00～23:00,09:00～23:00,09:00～23:00,09:00～23:00,098-871-3365,35,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
1105,沖縄真嘉比店,沖縄県那覇市,07:00～26:00,07:00～26:00,07:00～26:00,07:00～26:00,098-835-5181,70,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
652,沖縄西原シティ店,沖縄県中頭郡,09:00～23:00,09:00～23:00,09:00～23:00,09:00～23:00,098-882-8556,58,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
893,沖縄国体道路店,沖縄県中頭郡,06:00～25:00,06:00～26:00,07:00～26:00,07:00～26:00,098-982-7729,58,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
702,北谷国道58号店,沖縄県中頭郡,06:00～26:00,06:00～26:00,07:00～26:00,07:00～26:00,098-921-7816,79,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
623,イオン北谷店,沖縄県中頭郡,10:00～23:00,10:00～23:00,10:00～23:00,10:00～23:00,098-921-7386,45,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
398,美浜アメリカンビレッジ店,沖縄県中頭郡,09:00～23:00,09:00～24:00,09:00～24:00,09:00～23:00,098-921-7235,79,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
842,沖縄読谷店,沖縄県中頭郡,06:30～25:00,06:30～25:00,07:00～25:00,07:00～25:00,098-921-8871,60,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
577,具志川メインシティ店,沖縄県うるま市,09:00～24:00,09:00～24:00,09:00～24:00,09:00～24:00,098-982-6540,66,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
2050,石垣空港店,沖縄県石垣市,07:00～20:30,07:00～20:30,07:00～20:30,07:00～20:30,0980-87-0461,0,STARBUCKS/ docomo/ FLET'S（西）/ au/ Wi2300
