id,name,region,weekday,friday,saturday,sunday,tel,seats,lan
105,大阪マルビル店,大阪府大阪市北区,07:00～26:00,07:00～26:00,07:00～26:00,07:00～26:00,06-6341-6150,112,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
129,大阪ガーデンシティ店,大阪府大阪市北区,07:00～22:00,07:00～22:00,08:00～22:00,08:00～21:00,06-6452-9262,86,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
388,桜橋プラザビル店,大阪府大阪市北区,07:00～23:00,07:00～23:00,08:00～23:00,08:00～22:00,06-6346-0381,94,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
382,中之島三井ビル店,大阪府大阪市北区,07:00～20:00,07:00～20:00,08:00～19:00,None,06-4803-9031,64,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
1113,グランフロント大阪店,大阪府大阪市北区,10:00～21:00,10:00～21:00,10:00～21:00,10:00～21:00,06-6359-2655,86,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
181,ちゃやまちアプローズタワー店,大阪府大阪市北区,07:00～23:00,07:00～23:00,07:00～23:00,07:00～23:00,06-6376-3531,76,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
1019,NU茶屋町プラス店,大阪府大阪市北区,07:00～23:00,07:00～23:00,08:00～23:00,08:00～23:00,06-6292-7650,44,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
28,梅田ＨＥＰ ＦＩＶＥ店,大阪府大阪市北区,11:00～23:00,11:00～23:00,11:00～23:00,11:00～23:00,06-6366-3680,74,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
960,大丸梅田店,大阪府大阪市北区,07:00～23:00,07:00～23:00,07:00～23:00,07:00～23:00,06-6456-3260,48,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
977,LUCUA osaka店,大阪府大阪市北区,10:00～21:00,10:00～21:00,10:00～21:00,10:00～21:00,06-6347-0617,46,
297,新大阪ニッセイビル店,大阪府大阪市淀川区,07:30～22:00,07:30～22:00,07:30～22:00,07:30～22:00,06-6350-1778,141,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
1224,JR新大阪メディオ店,大阪府大阪市淀川区,06:30～22:00,06:30～22:00,06:30～22:00,06:30～22:00,06-4805-7417,50,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
2042,ＪＲ東海 新大阪駅新幹線ラチ内店,大阪府大阪市淀川区,06:30～21:30,06:30～21:30,06:30～21:30,06:30～21:30,06-4805-8251,18,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
160,京橋 京阪モール店,大阪府大阪市都島区,07:00～23:00,07:00～23:00,08:00～23:00,08:00～23:00,06-6351-8919,50,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
990,大阪京橋ダイエー店,大阪府大阪市都島区,07:00～23:00,07:00～23:00,07:00～23:00,07:00～23:00,06-6136-1335,0,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
117,谷町筋ＮＳビル店,大阪府大阪市中央区,07:00～22:00,07:00～22:00,08:00～22:00,08:00～21:00,06-6944-2670,94,STARBUCKS/ docomo/ FLET'S（西）/ SoftBank/ au/ Wi2300
