id,店名,地区,月〜木,金,土,日,電話番号,座席数,URL
75,竹橋パレスサイド店,東京都千代田区,07:00-21:00,07:00-21:00,"","",03-3212-3510,46,http://www.starbucks.co.jp/store/search/detail.php?id=75
432,大手町ビル店,東京都千代田区,07:00-22:00,07:00-22:00,07:00-21:00,"",03-5288-7330,27,http://www.starbucks.co.jp/store/search/detail.php?id=432
463,新大手町ビル店,東京都千代田区,07:00-21:00,07:00-21:00,"","",03-6202-2391,59,http://www.starbucks.co.jp/store/search/detail.php?id=463
346,大手町東京サンケイビル店,東京都千代田区,07:00-21:00,07:00-21:00,09:00-18:00,"",03-5204-8207,22,http://www.starbucks.co.jp/store/search/detail.php?id=346
115,ＫＤＤＩ大手町ビル店,東京都千代田区,08:00-22:00,08:00-22:00,09:00-18:00,"",03-3231-2065,38,http://www.starbucks.co.jp/store/search/detail.php?id=115
743,新丸ビル店,東京都千代田区,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,03-5224-8688,26,http://www.starbucks.co.jp/store/search/detail.php?id=743
224,丸の内新東京ビル店,東京都千代田区,07:00-22:30,07:00-22:30,08:00-21:00,10:00-20:00,03-3216-3552,69,http://www.starbucks.co.jp/store/search/detail.php?id=224
460,ＪＲ東京駅日本橋口店,東京都千代田区,07:00-22:30,07:00-22:30,07:00-22:30,07:00-22:30,03-5219-6066,75,http://www.starbucks.co.jp/store/search/detail.php?id=460
757,東京ステーションシティ サピアタワー店,東京都千代田区,07:00-22:00,07:00-22:00,07:00-19:00,07:00-19:00,03-5224-8075,44,http://www.starbucks.co.jp/store/search/detail.php?id=757
2043,ＪＲ東海 東京駅新幹線南ラチ内店,東京都千代田区,06:30-21:30,06:30-21:30,06:30-21:30,06:30-21:30,03-5293-8175,0,http://www.starbucks.co.jp/store/search/detail.php?id=2043
1010,日比谷シャンテ店,東京都千代田区,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,03-5510-7081,23,http://www.starbucks.co.jp/store/search/detail.php?id=1010
2018,TSUTAYA 有楽町マルイ店,東京都千代田区,11:00-21:00,11:00-21:00,11:00-21:00,11:00-20:30,03-6738-3888,118,http://www.starbucks.co.jp/store/search/detail.php?id=2018
420,有楽町ビル店,東京都千代田区,08:00-22:00,08:00-22:00,09:00-21:00,09:00-20:00,03-5288-7075,45,http://www.starbucks.co.jp/store/search/detail.php?id=420
5,日比谷シティ店,東京都千代田区,07:30-20:00,07:30-20:00,08:00-19:00,"",03-3506-8170,38,http://www.starbucks.co.jp/store/search/detail.php?id=5
69,NBF日比谷ビル店,東京都千代田区,08:00-20:00,08:00-20:00,08:00-20:00,"",03-5510-0090,70,http://www.starbucks.co.jp/store/search/detail.php?id=69
95,山王パークタワー店,東京都千代田区,07:00-22:00,07:00-22:00,08:00-18:00,08:00-18:00,03-3502-0323,108,http://www.starbucks.co.jp/store/search/detail.php?id=95
824,赤坂プルデンシャルタワー店,東京都千代田区,07:00-22:00,07:00-22:00,10:00-18:00,10:00-18:00,03-3519-3171,18,http://www.starbucks.co.jp/store/search/detail.php?id=824
905,霞ダイニング店,東京都千代田区,07:00-21:00,07:00-21:00,08:00-18:00,"",03-5251-5551,22,http://www.starbucks.co.jp/store/search/detail.php?id=905
371,丸の内ビル店,東京都千代田区,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,03-5220-7748,40,http://www.starbucks.co.jp/store/search/detail.php?id=371
869,大手町カンファレンスセンター店,東京都千代田区,07:00-22:00,07:00-22:00,08:00-19:00,"",03-6213-0650,16,http://www.starbucks.co.jp/store/search/detail.php?id=869
895,丸の内パークビル店,東京都千代田区,07:00-22:00,07:00-22:00,08:00-22:00,08:00-22:00,03-5220-2082,0,http://www.starbucks.co.jp/store/search/detail.php?id=895
956,アトレ秋葉原1店,東京都千代田区,07:00-22:30,07:00-22:30,07:00-22:30,07:00-22:30,03-5289-3841,81,http://www.starbucks.co.jp/store/search/detail.php?id=956
820,秋葉原駅前店,東京都千代田区,07:00-22:30,07:00-22:30,07:00-22:30,07:00-22:30,03-5295-7380,42,http://www.starbucks.co.jp/store/search/detail.php?id=820
227,神田駅前店,東京都千代田区,06:30-22:00,06:30-22:30,08:00-20:00,09:00-19:00,03-3251-7039,46,http://www.starbucks.co.jp/store/search/detail.php?id=227
178,内神田店,東京都千代田区,07:00-21:00,07:00-21:00,07:00-19:00,08:00-19:00,03-3219-2711,36,http://www.starbucks.co.jp/store/search/detail.php?id=178
394,神保町１丁目店,東京都千代田区,07:00-22:00,07:00-22:00,08:00-22:00,08:00-22:00,03-5217-0325,98,http://www.starbucks.co.jp/store/search/detail.php?id=394
100,神田小川町２丁目店,東京都千代田区,07:00-22:00,07:00-22:00,09:00-21:00,09:00-21:00,03-5281-1115,52,http://www.starbucks.co.jp/store/search/detail.php?id=100
42,水道橋西通り店,東京都千代田区,07:00-22:00,07:00-22:00,07:00-21:00,08:00-21:00,03-5216-6038,35,http://www.starbucks.co.jp/store/search/detail.php?id=42
2,お茶の水村田ビル店,東京都千代田区,07:00-22:00,07:00-22:00,07:00-22:00,08:00-21:00,03-3293-8835,88,http://www.starbucks.co.jp/store/search/detail.php?id=2
