id,name,region,weekday,friday,saturday,sunday,tel,seats,lan
75,竹橋パレスサイド店,東京都千代田区,07:00～21:00,07:00～21:00,08:00～17:00,None,03-3212-3510,50,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
463,新大手町ビル店,東京都千代田区,07:00～21:00,07:00～21:00,09:00～16:00,None,03-6202-2391,59,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
346,大手町東京サンケイビル店,東京都千代田区,07:00～21:00,07:00～21:00,09:00～18:00,None,03-5204-8207,22,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
432,大手町ビル店,東京都千代田区,07:00～22:00,07:00～22:00,07:00～21:00,None,03-5288-7330,27,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
115,ＫＤＤＩ大手町ビル店,東京都千代田区,08:00～22:00,08:00～22:00,09:00～18:00,None,03-3231-2065,38,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
460,ＪＲ東京駅日本橋口店,東京都千代田区,07:00～22:30,07:00～22:30,07:00～22:30,07:00～22:30,03-5219-6066,88,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
30,丸の内三菱ビル店,東京都千代田区,07:00～21:00,07:00～21:00,08:00～20:00,08:00～20:00,03-5288-9050,49,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
2035,JR東京駅 八重洲北口店,東京都千代田区,07:00～22:00,07:00～22:00,07:00～22:00,07:00～22:00,03-5288-5097,57,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
224,丸の内新東京ビル店,東京都千代田区,07:00～22:30,07:00～22:30,08:00～21:00,10:00～20:00,03-3216-3552,69,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
743,新丸ビル店,東京都千代田区,07:00～22:00,07:00～22:00,07:00～22:00,07:00～22:00,03-5224-8688,26,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
757,東京ステーションシティ サピアタワー店,東京都千代田区,07:00～22:00,07:00～22:00,07:00～19:00,07:00～19:00,03-5224-8075,45,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
2043,ＪＲ東海 東京駅新幹線南ラチ内店,東京都千代田区,06:30～21:30,06:30～21:30,06:30～21:30,06:30～21:30,03-5293-8175,0,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
2047,JR有楽町駅京橋口店,東京都千代田区,07:00～22:00,07:00～22:00,07:00～22:00,07:00～22:00,03-6870-6070,41,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
2018,TSUTAYA 有楽町マルイ店,東京都千代田区,11:00～21:00,11:00～21:00,11:00～21:00,10:30～20:30,03-6738-3888,118,
420,有楽町ビル店,東京都千代田区,08:00～22:00,08:00～22:00,09:00～21:00,09:00～20:00,03-5288-7075,45,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
1010,日比谷シャンテ店,東京都千代田区,07:00～22:00,07:00～22:00,07:00～22:00,07:00～22:00,03-5510-7081,23,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
69,NBF日比谷ビル店,東京都千代田区,07:30～20:00,07:30～20:00,08:00～20:00,None,03-5510-0090,70,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
5,日比谷シティ店,東京都千代田区,07:30～20:00,07:30～20:00,08:00～19:00,None,03-3506-8170,38,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
824,赤坂プルデンシャルタワー店,東京都千代田区,07:00～22:00,07:00～22:00,10:00～18:00,10:00～18:00,03-3519-3171,33,STARBUCKS/ docomo/ FLET'S（東）/ SoftBank/ au/ Wi2300
